Error of Modflow file
No,date,STORAGE_IN,CONSTANT_HEAD_IN,DRAINS_IN,RECHARGE_IN,TOTAL_IN,STORAGE_OUT,CONSTANT_HEAD_OUT,DRAINS_OUT,RECHARGE_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY
    1, 01/06/1995,     114514648.00000,             0.00000,             0.00000,     337907456.00000,     452422112.00000,      -1314488.25000,            -0.00000,    -451388960.00000,            -0.00000,    -452703456.00000,       -281344.00000,            -0.06000
    1, 01/06/1995,     112818224.00000,             0.00000,             0.00000,     340119744.00000,     452937984.00000,      -2569009.25000,            -0.00000,    -450353920.00000,            -0.00000,    -452922944.00000,         15040.00000,             0.00000
    1, 01/06/1995,     112153288.00000,             0.00000,             0.00000,     337571776.00000,     449725056.00000,      -1157871.50000,            -0.00000,    -451313152.00000,            -0.00000,    -452471008.00000,      -2745952.00000,            -0.61000
    1, 01/06/1995,     110373528.00000,             0.00000,             0.00000,     337715040.00000,     448088576.00000,       -951922.81250,            -0.00000,    -447131552.00000,            -0.00000,    -448083488.00000,          5088.00000,             0.00000
    1, 01/06/1995,     108198936.00000,             0.00000,             0.00000,     340888928.00000,     449087872.00000,      -2334720.00000,            -0.00000,    -447062272.00000,            -0.00000,    -449396992.00000,       -309120.00000,            -0.07000
    1, 01/06/1995,     108005008.00000,             0.00000,             0.00000,     339094304.00000,     447099328.00000,      -1258189.12500,            -0.00000,    -451756256.00000,            -0.00000,    -453014432.00000,      -5915104.00000,            -1.31000
    1, 01/06/1995,     106246920.00000,             0.00000,             0.00000,     338629184.00000,     444876096.00000,      -1256540.75000,            -0.00000,    -443798784.00000,            -0.00000,    -445055328.00000,       -179232.00000,            -0.04000
    1, 01/06/1995,     104475648.00000,             0.00000,             0.00000,     339869344.00000,     444344992.00000,      -1999911.87500,            -0.00000,    -442345088.00000,            -0.00000,    -444344992.00000,             0.00000,             0.00000
    1, 01/06/1995,     103790264.00000,             0.00000,             0.00000,     339464128.00000,     443254400.00000,      -1277940.87500,            -0.00000,    -442221024.00000,            -0.00000,    -443498976.00000,       -244576.00000,            -0.06000
    1, 01/06/1995,     102382320.00000,             0.00000,             0.00000,     339617088.00000,     441999424.00000,      -1384538.75000,            -0.00000,    -444256256.00000,            -0.00000,    -445640800.00000,      -3641376.00000,            -0.82000
    1, 01/06/1995,     100540264.00000,             0.00000,             0.00000,     342014304.00000,     442554560.00000,      -2449366.25000,            -0.00000,    -442703008.00000,            -0.00000,    -445152384.00000,      -2597824.00000,            -0.59000
    1, 01/06/1995,     100522256.00000,             0.00000,             0.00000,     338121024.00000,     438643264.00000,       -799154.62500,            -0.00000,    -437845152.00000,            -0.00000,    -438644320.00000,         -1056.00000,            -0.00000
    1, 01/06/1995,      98327000.00000,             0.00000,             0.00000,     339900608.00000,     438227616.00000,      -1336889.25000,            -0.00000,    -436889728.00000,            -0.00000,    -438226624.00000,           992.00000,             0.00000
    1, 01/06/1995,      96984824.00000,             0.00000,             0.00000,     342703456.00000,     439688288.00000,      -2556686.00000,            -0.00000,    -437124416.00000,            -0.00000,    -439681088.00000,          7200.00000,             0.00000
    1, 01/06/1995,      96829728.00000,             0.00000,             0.00000,     339060992.00000,     435890720.00000,      -1134167.62500,            -0.00000,    -436272256.00000,            -0.00000,    -437406432.00000,      -1515712.00000,            -0.35000
    1, 01/06/1995,      95252192.00000,             0.00000,             0.00000,     339726240.00000,     434978432.00000,      -1004244.56250,            -0.00000,    -441704864.00000,            -0.00000,    -442709120.00000,      -7730688.00000,            -1.76000
    1, 01/06/1995,      93459144.00000,             0.00000,             0.00000,     343144768.00000,     436603904.00000,      -2402041.50000,            -0.00000,    -435009568.00000,            -0.00000,    -437411616.00000,       -807712.00000,            -0.18000
    1, 01/06/1995,      93440760.00000,             0.00000,             0.00000,     341143808.00000,     434584576.00000,      -1262820.37500,            -0.00000,    -433326176.00000,            -0.00000,    -434588992.00000,         -4416.00000,            -0.00000
    1, 01/06/1995,      91986944.00000,             0.00000,             0.00000,     340293920.00000,     432280864.00000,      -1242067.75000,            -0.00000,    -431033216.00000,            -0.00000,    -432275296.00000,          5568.00000,             0.00000
    1, 01/06/1995,      90555576.00000,             0.00000,             0.00000,     342702528.00000,     433258112.00000,      -1950407.75000,            -0.00000,    -431295872.00000,            -0.00000,    -433246272.00000,         11840.00000,             0.00000
    1, 01/06/1995,      90196016.00000,             0.00000,             0.00000,     341585472.00000,     431781504.00000,      -1315609.12500,            -0.00000,    -430454016.00000,            -0.00000,    -431769632.00000,         11872.00000,             0.00000
    1, 01/06/1995,      89129968.00000,             0.00000,             0.00000,     341760896.00000,     430890880.00000,      -1412224.75000,            -0.00000,    -430512800.00000,            -0.00000,    -431925024.00000,      -1034144.00000,            -0.24000
    1, 01/06/1995,      87585176.00000,             0.00000,             0.00000,     344053344.00000,     431638528.00000,      -2532002.25000,            -0.00000,    -429119648.00000,            -0.00000,    -431651648.00000,        -13120.00000,            -0.00000
    1, 01/06/1995,      87862000.00000,             0.00000,             0.00000,     340804160.00000,     428666176.00000,       -808173.06250,            -0.00000,    -427855712.00000,            -0.00000,    -428663872.00000,          2304.00000,             0.00000
    1, 01/06/1995,      85959624.00000,             0.00000,             0.00000,     341967104.00000,     427926720.00000,      -1359838.62500,            -0.00000,    -426585856.00000,            -0.00000,    -427945696.00000,        -18976.00000,            -0.00000
    1, 01/06/1995,      84946496.00000,             0.00000,             0.00000,     344463424.00000,     429409920.00000,      -2530879.50000,            -0.00000,    -428993376.00000,            -0.00000,    -431524256.00000,      -2114336.00000,            -0.49000
    1, 01/06/1995,      84989424.00000,             0.00000,             0.00000,     341419360.00000,     426408768.00000,      -1214529.25000,            -0.00000,    -426907936.00000,            -0.00000,    -428122464.00000,      -1713696.00000,            -0.40000
    1, 01/06/1995,      83740032.00000,             0.00000,             0.00000,     342642144.00000,     426382176.00000,      -1031726.56250,            -0.00000,    -425342752.00000,            -0.00000,    -426374464.00000,          7712.00000,             0.00000
